Signal Name,P_fp,R_freq,I_suppress,Occurrences,Confidence,Score,Severity,Technique,Recommendation
Large Outbound Transfer Slow Rate of Transfer,0.0,0.2547800925925926,560.1272264631043,22013,Medium,5,Medium,Data Transfer Size Limits,High recurrence - Consider threshold adjustment or context-based filtering
Large Outbound Transfer High Rate of Transfer,0.0,0.254212962962963,558.8804071246819,21964,Medium,5,Medium,Data Transfer Size Limits,High recurrence - Consider threshold adjustment or context-based filtering
Large Outbound Transfer Slow Rate of Transfer,0.0,0.25407407407407406,558.5750636132316,21952,Medium,5,Medium,Data Transfer Size Limits,High recurrence - Consider threshold adjustment or context-based filtering
Large Outbound Transfer Slow Rate of Transfer,0.0,0.25354166666666667,557.4045801526718,21906,Medium,5,Medium,Data Transfer Size Limits,High recurrence - Consider threshold adjustment or context-based filtering
Distributed DOS Attack,0.0,0.2533796296296296,557.0483460559797,21892,High,7,High,Network Denial of Service,High recurrence - Consider threshold adjustment or context-based filtering
Large Outbound Transfer High Rate of Transfer,0.0,0.2533680555555556,557.0229007633587,21891,Medium,5,Medium,Data Transfer Size Limits,High recurrence - Consider threshold adjustment or context-based filtering
Clients Connecting to Multiple DNS Servers,0.0,0.2469097222222222,542.824427480916,21333,Low,3,Low,Fallback Channels,High recurrence - Consider threshold adjustment or context-based filtering
SSH from the Internet,0.0,0.183125,402.5954198473283,15822,Low,5,Medium,Exploit Public-Facing Application,High recurrence - Consider threshold adjustment or context-based filtering
Distributed DOS Attack,0.0,0.1718287037037037,377.7608142493639,14846,High,7,High,Network Denial of Service,High recurrence - Consider threshold adjustment or context-based filtering
Large Outbound Transfer Slow Rate of Transfer,0.0,0.057708333333333334,126.87022900763358,4986,Medium,5,Medium,Data Transfer Size Limits,High recurrence - Consider threshold adjustment or context-based filtering
IPSEC NAT Traversal Port Activity,0.0,0.05686342592592593,125.01272264631042,4913,Low,4,Medium,Encrypted Channel,High recurrence - Consider threshold adjustment or context-based filtering
Telnet Port Activity,0.0,0.04690972222222222,103.12977099236642,4053,Low,3,Low,Remote Services,High recurrence - Consider threshold adjustment or context-based filtering
SMTP to the Internet,0.0,0.04415509259259259,97.07379134860051,3815,Low,5,Medium,Exfiltration Over Alternative Protocol,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.03326388888888889,73.12977099236642,2874,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.03290509259259259,72.3409669211196,2843,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.032893518518518516,72.31552162849873,2842,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.03274305555555555,71.98473282442748,2829,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.03269675925925926,71.88295165394402,2825,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.03225694444444444,70.91603053435115,2787,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.03211805555555555,70.61068702290076,2775,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.03166666666666667,69.61832061068702,2736,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.031643518518518515,69.56743002544529,2734,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.03085648148148148,67.83715012722647,2666,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Same Threat Detected on Multiple Hosts,0.0,0.030567129629629628,67.20101781170483,2641,High,8,High,User Execution,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.0303125,66.6412213740458,2619,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
Clients Connecting to Multiple DNS Servers,0.0,0.029965277777777778,65.87786259541984,2589,Low,3,Low,Fallback Channels,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.02991898148148148,65.77608142493638,2585,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.02988425925925926,65.69974554707379,2582,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.02988425925925926,65.69974554707379,2582,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.029872685185185186,65.67430025445292,2581,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.029872685185185186,65.67430025445292,2581,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.029872685185185186,65.67430025445292,2581,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.029872685185185186,65.67430025445292,2581,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.029861111111111113,65.64885496183206,2580,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.029849537037037036,65.6234096692112,2579,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.029837962962962962,65.59796437659034,2578,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.029837962962962962,65.59796437659034,2578,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.029837962962962962,65.59796437659034,2578,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.02982638888888889,65.57251908396947,2577,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.029814814814814815,65.5470737913486,2576,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
New Source IP Access to Hikvision Endpoint,0.0,0.029594907407407407,65.06361323155217,2557,Medium,5,Medium,Active Scanning,High recurrence - Consider threshold adjustment or context-based filtering
